Zaman damgası,Please enter your age: ,"  On average, how many hours per day do you spend playing MMORPGs?  ",  How much money do you spend on in-game MMORPG purchases per month ? (in TL),  How long have you been playing MMORPGs  ?,"I feel pressure from my guild, friends, or community to log in or stay online. (1 Star is Strongly disagree, 5 Star is Strongly agree)",  I often play longer than I originally intended.  ,  I find it difficult to stop playing even when I want to.,"  My gaming habits sometimes interfere with my work, school, or health.  ",  I feel I spend too much money on these games.  
25.11.2025 18:34:48,,6-9 Hours,2000,1-3 years,4,5,5,5,2
25.11.2025 18:37:49,25,3-6 Hours,0,More than 10 years,1,3,1,1,1
25.11.2025 18:38:57,21,6-9 Hours,2000,1-3 years,4,5,5,5,4
25.11.2025 18:40:51,19,6-9 Hours,300-350,3-5 years,1,5,4,4,2
25.11.2025 18:41:46,21,1-3 Hours,200,3-5 years,3,4,1,4,1
25.11.2025 18:41:50,23,6-9 Hours,300,3-5 years,4,4,1,2,4
25.11.2025 18:41:56,26,3-6 Hours,1000,5-10 years,1,5,3,1,4
25.11.2025 18:42:12,25,1-3 Hours,600-800,More than 10 years,1,3,2,3,3
25.11.2025 18:42:34,25,1-3 Hours,1000,More than 10 years,1,,1,3,3
25.11.2025 18:43:35,20,3-6 Hours,Right now 0 but in the past 160,5-10 years,1,4,3,5,1
25.11.2025 18:43:56,25,3-6 Hours,600-800,More than 10 years,1,3,2,3,3
25.11.2025 18:46:35,,More than 9 hours,0,5-10 years,5,3,3,5,1
25.11.2025 18:53:44,28,3-6 Hours,0,More than 10 years,1,3,2,2,1
25.11.2025 18:54:51,,6-9 Hours,200,5-10 years,1,2,3,3,1
25.11.2025 19:02:04,18,3-6 Hours,15€,1-3 years,1,1,2,1,3
25.11.2025 19:03:51,21,3-6 Hours,400,More than 10 years,1,3,5,4,2
25.11.2025 19:05:48,31,6-9 Hours,0,More than 10 years,1,5,5,5,2
25.11.2025 19:25:20,21,1-3 Hours,700,3-5 years,1,3,2,4,5
25.11.2025 19:37:52,19,6-9 Hours,+2000,5-10 years,5,1,5,1,1
25.11.2025 19:55:46,28,1-3 Hours,100 usd ,More than 10 years,5,4,2,5,2
25.11.2025 20:26:23,20,1-3 Hours,"depends, under 1k",1-3 years,1,3,2,4,2
25.11.2025 20:45:09,21,6-9 Hours,180,5-10 years,4,4,1,1,1
